pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
12100691,0.0,0.12187398970127106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7451531291007996,0.0,0.0,0.0,topic16
12203106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8734193444252014,topic19
12447847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86859130859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
12670468,0.0,0.0,0.0,0.0,0.0,0.15154707431793213,0.0,0.0,0.7330629229545593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
12816862,0.0,0.8758816123008728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
14755378,0.8677329421043396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic0
15061219,0.8163312077522278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic0
15737878,0.0,0.0,0.0,0.0,0.0,0.17801204323768616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6794901490211487,0.0,0.0,0.0,0.0,0.0,topic14
15761021,0.0,0.0,0.0,0.0,0.0,0.2854819893836975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5815470218658447,0.0,topic18
15899772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8357449769973755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
16393677,0.0,0.0,0.0,0.8476542234420776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
16497968,0.0,0.19556675851345062,0.0,0.7020590305328369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
16549109,0.0,0.0,0.0,0.0,0.0,0.8678398132324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
16990110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8737348914146423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
17107901,0.0,0.0,0.0,0.0,0.0,0.3303181827068329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475960969924927,topic19
17145843,0.0,0.0,0.0,0.0,0.0,0.04756161570549011,0.0,0.8353452682495117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
18039954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656336069107056,topic19
18613994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8761879801750183,0.0,0.0,0.0,topic16
18798533,0.0,0.0,0.0,0.0,0.0,0.0,0.8736775517463684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
19778849,0.0,0.0,0.0,0.0,0.0,0.8806787729263306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
19814690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847186267375946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic8
19814694,0.0,0.0,0.0,0.0,0.6423105597496033,0.15039214491844177,0.0,0.0,0.0,0.0,0.0,0.08931062370538712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic4
19814695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8504459261894226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
19843881,0.0,0.7464816570281982,0.0,0.0,0.0,0.15678732097148895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
20045559,0.011361291632056236,0.011361291632056236,0.011361291632056236,0.011361291632056236,0.011361291632056236,0.01136129628866911,0.011361291632056236,0.011361291632056236,0.011361291632056236,0.011361291632056236,0.011361291632056236,0.011361292563378811,0.011361291632056236,0.011361291632056236,0.7841355204582214,0.011361291632056236,0.011361291632056236,0.011361291632056236,0.011361291632056236,0.011361291632056236,topic14
21220590,0.0,0.0,0.4838548004627228,0.0,0.0,0.28680187463760376,0.0,0.0,0.0,0.0,0.0,0.13656292855739594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic2
21417822,0.0,0.0,0.0,0.0,0.0,0.11494312435388565,0.0,0.0,0.0,0.0,0.0,0.17863434553146362,0.0,0.6069968342781067,0.0,0.0,0.0,0.0,0.0,0.0,topic13
21438839,0.0,0.8395676612854004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
21463116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7876905202865601,0.0,0.10205868631601334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
21599604,0.0,0.0,0.0,0.0,0.0,0.15914346277713776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7316592335700989,0.0,0.0,0.0,0.0,0.0,0.0,topic13
21821712,0.0,0.05895019322633743,0.0,0.0,0.0,0.0,0.8235723972320557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
22355053,0.0,0.43985170125961304,0.0,0.0,0.0,0.0,0.2931938171386719,0.0,0.0,0.0,0.08092750608921051,0.08593908697366714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
22706871,0.0,0.0,0.841696560382843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic2
24408202,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.7768256664276123,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,0.011746019124984741,topic6
24652320,0.0,0.22639445960521698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5536091923713684,0.0,0.13518305122852325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
24871132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8502629995346069,0.0,topic18
24978916,0.7409244179725647,0.0,0.11881685256958008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic0
25110197,0.0,0.0,0.0,0.0,0.0,0.891861617565155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
25563425,0.0,0.1970500349998474,0.0,0.0,0.0,0.0,0.0,0.6534420847892761,0.0,0.0,0.0,0.04409540817141533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic7
25583765,0.010230738669633865,0.01023073960095644,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.01023073960095644,0.010230738669633865,0.8056159615516663,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,0.010230738669633865,topic7
26096944,0.0,0.0,0.8502376675605774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic2
26352686,0.0,0.24760952591896057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6483847498893738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
26614894,0.0,0.0,0.0,0.6236280798912048,0.0,0.2602584660053253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
26614901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8735711574554443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
26614906,0.0,0.8135929107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
27903528,0.0,0.0,0.0,0.0,0.0,0.889225959777832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
28778620,0.0,0.0,0.0,0.0,0.0,0.876244306564331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
28801450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8507643342018127,0.0,0.0,topic17
29118233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8466415405273438,0.0,topic18
29487070,0.0,0.21836689114570618,0.0,0.0,0.0,0.0,0.6651392579078674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
29955146,0.0,0.0,0.8847318291664124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic2
30030507,0.0,0.8895516395568848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic1
30181415,0.0,0.0,0.0,0.0,0.0,0.17582878470420837,0.0,0.19490520656108856,0.0,0.0,0.516692042350769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic10
30197362,0.0,0.0,0.0,0.0,0.0,0.0,0.8630264401435852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
